wavelength (nm),irradiance (W/m^2/nm)
329.61,1.012619
329.9,1.02
330.19,1.016662
330.48,1.002835
330.77,0.9878393
331.06,0.9693611
331.35,0.9598799
331.64,0.9503444
331.94,0.9468207
332.23,0.9389891
332.53,0.9346526
332.83,0.9274337
333.12,0.9257536
333.42,0.9229606
333.72,0.919482
334.02,0.9282208
334.32,0.9421093
334.63,0.942119
334.93,0.9355964
335.23,0.9294805
335.54,0.9140367
335.85,0.8845909
336.15,0.8571669
336.46,0.8423329
336.77,0.8361093
337.08,0.8327014
337.39,0.8412152
337.71,0.8648535
338.02,0.8840757
338.33,0.9007687
338.65,0.925822
338.96,0.9457535
339.28,0.9607659
339.6,0.9737859
339.92,0.9828215
340.24,0.986654
340.56,0.9820564
340.88,0.9743032
341.21,0.9687498
341.53,0.9657856
341.86,0.9709529
342.18,0.977508
342.51,0.9794516
342.84,0.9702882
343.17,0.950944
343.5,0.9303373
343.83,0.9048314
344.17,0.8835643
344.5,0.8756468
344.84,0.8788175
345.17,0.8929708
345.51,0.9094841
345.85,0.9214775
346.19,0.9290886
346.53,0.935242
346.88,0.9340968
347.22,0.9299015
347.56,0.9227322
347.91,0.9163239
348.26,0.9141009
348.6,0.916597
348.95,0.9250337
349.3,0.9377999
349.66,0.9557926
350.01,0.9768745
350.36,0.9997734
350.72,1.008609
351.08,1.003367
351.43,0.9967519
351.79,0.9892375
352.15,0.981203
352.52,0.9791472
352.88,0.993832
353.24,1.020965
353.61,1.050282
353.98,1.07032
354.34,1.08955
354.71,1.097741
355.08,1.084798
355.46,1.055486
355.83,1.023443
356.2,0.9869055
356.58,0.9376189
356.96,0.8867024
357.34,0.8501227
357.72,0.8316383
358.1,0.827504
358.48,0.8392413
358.86,0.8707428
359.25,0.9117079
359.64,0.9480094
360.03,0.96823
360.42,0.9727961
360.81,0.9729279
361.2,0.97262
361.59,0.9663042
361.99,0.9665958
362.39,0.9830535
362.79,1.003302
363.19,1.013734
363.59,1.024298
363.99,1.048324
364.39,1.07224
364.8,1.095598
365.21,1.125466
365.62,1.166926
366.03,1.194492
366.44,1.206539
366.85,1.210163
367.27,1.210327
367.69,1.20326
368.1,1.197674
368.52,1.194673
368.95,1.195089
369.37,1.205388
369.79,1.215932
370.22,1.208244
370.65,1.196732
371.08,1.185583
371.51,1.161532
371.94,1.123849
372.38,1.083851
372.81,1.047258
373.25,1.016677
373.69,0.9904924
374.13,0.9833437
374.58,0.987085
375.02,1.003481
375.47,1.038221
375.92,1.087265
376.37,1.136144
376.82,1.179662
377.28,1.222015
377.73,1.247015
378.19,1.254734
378.65,1.252201
379.11,1.238548
379.57,1.212375
380.04,1.184786
380.51,1.151019
380.98,1.103332
381.45,1.04364
381.92,0.9789294
382.39,0.9254886
382.87,0.8865211
383.35,0.8649316
383.83,0.8672832
384.31,0.8972299
384.8,0.9371343
385.28,0.9676228
385.77,0.9904946
386.26,1.004533
386.76,1.013757
387.25,1.020078
387.75,1.032275
388.25,1.052598
388.75,1.087139
389.25,1.130867
389.76,1.176433
390.26,1.204027
390.77,1.200596
391.29,1.170279
391.8,1.117843
392.32,1.051609
392.84,0.9951773
393.36,0.9651587
393.88,0.9633794
394.4,0.9757089
394.93,0.9951571
395.46,1.024464
395.99,1.050623
396.53,1.080986
397.07,1.12464
397.61,1.204634
398.15,1.30494
398.69,1.407651
399.24,1.512086
399.79,1.606886
400.34,1.674207
400.89,1.710966
401.45,1.735309
402.01,1.746123
402.57,1.746027
403.13,1.739845
403.7,1.727127
404.27,1.712283
404.84,1.69404
405.41,1.680172
405.99,1.675409
406.57,1.681111
407.15,1.685242
407.74,1.688489
408.33,1.698566
408.92,1.712397
409.51,1.720939
410.11,1.72483
410.7,1.737403
411.31,1.75792
411.91,1.77207
412.52,1.779836
413.13,1.788487
413.74,1.799179
414.36,1.79997
414.98,1.793115
415.6,1.787017
416.22,1.783851
416.85,1.774032
417.48,1.76088
418.11,1.755371
418.75,1.755249
419.39,1.754236
420.04,1.750365
420.68,1.7528
421.33,1.756023
421.98,1.749674
422.64,1.73943
423.3,1.732608
423.96,1.726708
424.63,1.715289
425.3,1.703927
425.97,1.691643
426.65,1.671992
427.32,1.632882
428.01,1.590462
428.69,1.558808
429.38,1.530324
430.08,1.517066
430.77,1.521257
431.47,1.554562
432.18,1.599558
432.89,1.647421
433.6,1.694027
434.31,1.734829
435.03,1.763855
435.75,1.778958
436.48,1.787461
437.21,1.78733
437.94,1.787026
438.68,1.792114
439.42,1.80567
440.17,1.824846
440.92,1.850647
441.67,1.882734
442.43,1.907846
443.19,1.925425
443.96,1.93941
444.73,1.949352
445.5,1.956751
446.28,1.966743
447.06,1.990354
447.85,2.016922
448.64,2.037657
449.43,2.053377
450.23,2.066559
451.04,2.070334
451.85,2.062085
452.66,2.052287
453.48,2.047254
454.3,2.046941
455.13,2.047304
455.96,2.05146
456.8,2.059251
457.64,2.067675
458.48,2.072797
459.33,2.077453
460.19,2.082446
461.05,2.085352
461.92,2.08652
462.79,2.081923
463.66,2.074699
464.54,2.064224
465.43,2.053433
466.32,2.04033
467.22,2.031821
468.12,2.029462
469.03,2.030171
469.94,2.032996
470.86,2.039327
471.78,2.049477
472.71,2.059049
473.64,2.067888
474.58,2.076909
475.53,2.085877
476.48,2.092466
477.44,2.098669
478.4,2.105263
479.37,2.10656
480.34,2.102889
481.33,2.085122
482.31,2.057866
483.31,2.02459
484.3,1.990657
485.31,1.959605
486.32,1.937973
487.34,1.931456
488.37,1.937966
489.4,1.950602
490.43,1.966246
491.48,1.980851
492.53,1.992879
493.59,1.998742
494.65,2.001198
495.72,1.997415
496.8,1.988876
497.89,1.979236
498.98,1.966448
500.08,1.956103
501.19,1.949072
502.3,1.947649
503.42,1.950847
504.55,1.956485
505.69,1.962793
506.83,1.967016
507.99,1.965207
509.14,1.960319
510.31,1.9513
511.49,1.931245
512.67,1.905238
513.86,1.878883
515.06,1.855975
516.27,1.836116
517.49,1.824209
518.71,1.828451
519.94,1.841247
521.18,1.852626
522.43,1.865572
523.69,1.880672
524.96,1.893287
526.24,1.897812
527.52,1.902426
528.82,1.91266
530.12,1.920623
531.44,1.924579
532.76,1.92522
534.09,1.924223
535.43,1.919291
536.79,1.910729
538.15,1.902774
539.52,1.896463
540.9,1.892302
542.29,1.890752
543.69,1.890991
545.11,1.892131
546.53,1.891987
547.96,1.89325
549.41,1.893001
550.86,1.889779
552.33,1.882951
553.8,1.876702
555.29,1.869651
556.79,1.861451
558.3,1.853436
559.82,1.848907
561.36,1.846512
562.9,1.844428
564.46,1.843222
566.03,1.844451
567.61,1.846037
569.21,1.846854
570.81,1.846547
572.43,1.848111
574.06,1.848986
575.71,1.848443
577.37,1.846215
579.04,1.843129
580.72,1.836311
582.42,1.827397
584.13,1.818182
585.86,1.808134
587.59,1.798868
589.35,1.791411
591.11,1.787146
592.9,1.783619
594.69,1.780293
596.5,1.777292
598.33,1.773681
600.17,1.767895
602.03,1.760237
603.9,1.752428
605.78,1.742312
607.69,1.730367
609.6,1.718525
611.54,1.707656
613.49,1.696874
615.46,1.686132
617.44,1.679075
619.44,1.674586
621.46,1.668968
623.49,1.662878
625.54,1.657282
627.61,1.652322
629.7,1.645492
631.81,1.637753
633.93,1.631042
636.07,1.624213
638.23,1.616049
640.41,1.607612
642.61,1.59958
644.82,1.586944
647.06,1.573258
649.31,1.560266
651.59,1.548133
653.88,1.537096
656.2,1.52879
658.53,1.526041
660.89,1.525877
663.27,1.525199
665.66,1.523627
668.08,1.521441
670.52,1.516779
672.99,1.508482
675.47,1.500047
677.98,1.491562
680.5,1.482495
683.06,1.473216
685.63,1.46392
688.23,1.453864
690.85,1.443961
693.49,1.433758
696.16,1.423743
698.85,1.413987
701.56,1.404313
704.3,1.394792
707.07,1.384711
709.85,1.374719
712.67,1.36457
715.51,1.354179
718.37,1.34403
721.26,1.334585
724.18,1.32522
727.12,1.315658
730.09,1.306421
733.08,1.297944
736.1,1.288981
739.15,1.279852
742.22,1.271879
745.33,1.264411
748.46,1.256979
751.61,1.248994
754.8,1.241003
758.01,1.23241
761.26,1.223206
764.53,1.214155
767.83,1.205334
771.15,1.197148
774.51,1.188828
777.9,1.180182
781.31,1.171608
784.76,1.162823
788.23,1.153133
791.73,1.143064
795.27,1.133416
798.83,1.124342
802.42,1.11449
806.05,1.10486
809.7,1.095943
813.39,1.086677
817.1,1.076893
820.85,1.067762
824.62,1.059173
828.43,1.050029
832.26,1.039301
836.13,1.027744
840.03,1.016781
843.96,1.004489
847.92,0.9911589
851.91,0.9796014
855.93,0.9702844
859.99,0.9627235
864.07,0.9554015
868.18,0.9496515
872.33,0.9456125
876.5,0.9409333
880.71,0.9350209
884.94,0.9292311
889.21,0.922722
893.5,0.9156308
897.83,0.907548
902.19,0.8988151
906.57,0.8906681
910.99,0.8826692
915.43,0.8744604
919.91,0.8657815
924.41,0.8576662
928.94,0.8499221
933.5,0.8413578
938.09,0.832875
942.7,0.824977
947.35,0.8182399
952.74,0.8084075
957.41,0.8012514
962.11,0.7950287
966.83,0.789407
971.58,0.7834137
976.35,0.7766886
981.15,0.7692575
985.98,0.761695
990.82,0.7538721
995.7,0.7458513
1000.59,0.7382656
1005.51,0.731371
1010.45,0.7249672
1015.42,0.7181549
1020.41,0.7115722
1025.41,0.7052161
1030.44,0.6986246
1035.49,0.6915346
1040.57,0.6842803
1045.66,0.6770025
1050.77,0.6692741
1055.9,0.6609179
1061.04,0.6525035
1066.21,0.6437968
1071.39,0.6353076
1076.59,0.6275547
1081.81,0.6204913
1087.04,0.6143185
1092.29,0.6087944
1097.55,0.6035723
1102.83,0.5986652
1108.13,0.5934624
1113.43,0.5879402
1118.75,0.5823688
1124.09,0.5766266
1129.43,0.5706689
1134.79,0.5647892
1140.16,0.5589377
1145.53,0.5532594
1150.92,0.547242
1156.32,0.541097
1161.73,0.535186
1167.15,0.5291928
1172.57,0.5231314
1178.01,0.517197
1183.45,0.51174
1188.9,0.506727
1194.35,0.5018589
1199.82,0.497335
1205.28,0.4933514
1210.76,0.4894062
1216.23,0.4853956
